genres,sentiment,count
"Action & Adventure, Art House & International, Mystery & Suspense",Negative,217
"Action & Adventure, Art House & International, Mystery & Suspense",Neutral,152
"Action & Adventure, Art House & International, Mystery & Suspense",Positive,476
"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",Negative,17
"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",Neutral,10
"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",Positive,68
"Action & Adventure, Art House & International, Science Fiction & Fantasy",Negative,110
"Action & Adventure, Art House & International, Science Fiction & Fantasy",Neutral,61
"Action & Adventure, Art House & International, Science Fiction & Fantasy",Positive,218
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",Negative,1
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",Neutral,2
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",Positive,11
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Special Interest, Western",Negative,14
